"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d","uniID","X","Site","Date","Waypoint","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","Quantity","density","shrub.density","cactus.density","con.density","het.density","site.density","site.shrub.density","site.cactus.density","S","S.1"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EL 20",13,"up","4.22.2018",20,"EL",68,27,"4:16",145,"EC",126,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,NA,NA,NA,1,2
"14",1,0.0175438596491228,0.0625,-0.9375,0.660377358490566,1,1,1,1,2.53947368421053,0,0,0.00580635691755117,0.00202030774040552,134217776.500017,0,1,0.0372093023255814,0.0447609495121026,0.357823658263914,"AS 22",14,"up","4.22.2018",22,"AS",56,82,"9:16",965,"PP",220,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,2
"15",4,0.0701754385964912,0.279056776556777,-0.180235805860806,0.0125786163522013,0.993303571428571,0.738748742699853,0.946428571428571,1,1.74342105263158,0.0668812348913966,0.12830926803792,0.00873471784127277,0.00480286385326217,2.2612632119324,0.885574151576672,2.42437595123906,0.304651162790698,0.108517369551767,0.234687572623852,"EC 23",15,"up","4.22.2018",23,"EC",45,180,"",230,"EC",33,0,0,1,0,0,0,0,0,0,0,0,11,1,1,0,1,0,NA,NA,NA,1,3
"16",1,0.0175438596491228,0.5,-0.5,0.993710691823899,1,1,1,1,2.96710526315789,0,0,0.00479186332972624,0.00165978326943919,134217776.500017,0,1,0.00465116279069767,0.0447609495121026,0.839455914565979,"SD 25",16,"low","4.22.2018",25,"SD",50,29,"10:18",285,"SD",155,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,NA,NA,NA,1,3
"17",2,0.0350877192982456,0.276666666666667,-0.361666666666667,0.251572327044025,0.991071428571429,0.740012869900955,0.982142857142857,1,1.99342105263158,0.00192731536163116,0.000671246972225928,0.00741803467409573,0.00305012345864696,2.62230229845195,0.636514168294813,1.88988157484231,0.183720930232558,0.0845928937553696,0.307952605094229,"AS 26",17,"low","4.22.2018",26,"AS",54,56,"10:35",245,"AS",11,0,2,0,0,0,0,0,0,0,0,0,3,2,2,0,2,0,NA,NA,NA,1,2
"18",1,0.0175438596491228,1,0,0.861635220125786,1,1,1,1,NA,0,0,0,NA,134217776.500017,0,1,0.00232558139534884,0.0447609495121026,1,"EL 28",18,"low","4.22.2018",28,"EL",56,117,"11:04",160,"AS",78,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,NA,NA,NA,1,2
"19",1,0.0175438596491228,0.0625,-0.9375,0.69811320754717,1,1,1,1,2.53947368421053,0,0,0.00580635691755117,0.00202030774040552,134217776.500017,0,1,0.0372093023255814,0.0447609495121026,0.357823658263914,"AS 29",19,"low","4.22.2018",29,"AS",49,29,"11:19",690,"AS",64,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,NA,NA,NA,1,2
"20",1,0.0175438596491228,0.0151515151515152,-0.984848484848485,0.918238993710692,1,1,1,1,2.22368421052632,0,0,0.00701511523495959,0.00210133228689235,134217776.500017,0,1,0.153488372093023,0.0447609495121026,0.0296082741048199,"LT 30",20,"low","4.22.2018",30,"LT",165,46,"11:33",80,"LT",200,2,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,NA,NA,NA,1,2
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AS 32",21,"low","4.22.2018",32,"AS",4,9,"12:10",40,"AS",187,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,NA,NA,NA,1,1
"22",2,0.0350877192982456,0.0643224699828473,-0.467838765008576,0.232704402515723,0.994047619047619,0.786322816296571,0.982142857142857,1,1.98026315789474,0.00384456085725213,0,0.00795765892293878,0.00386887246654681,1.59181590415142,0.562335144618808,1.75476535060332,0.276744186046512,0.0785449632639424,0.15837482604601,"LT 33",22,"low","4.22.2018",33,"LT",290,120,"12:25",75,"LT",195,1,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,NA,NA,NA,1,2
