"","means","sd"
"LT",0.0118589743589744,0.00312757016814893
"SD",7.69230769230769e-05,0.000277350098112615
"SM",0.000521367521367521,0.000874754069359696
"SC",0.00265384615384615,0.00223032710030591
"AS",0.0154786324786325,0.00980495325139841
"EL",0,0
"EC",0.00240598290598291,0.00305794389953242
"PP",0.000115384615384615,0.000416025147168922
"HH",3.84615384615385e-05,0.000138675049056307
"BW",0.001,0.00160727512683216
