"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d","uniID","X","Site","Date","Waypoint","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","Quantity","density","shrub.density","cactus.density","con.density","het.density","site.density","site.shrub.density","site.cactus.density","S","imp.den.x","imp.den.y"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AS 14",14,"low","4.21.2018",14,"AS",35,4,"2:09",200,"AS",217,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0,1,0.0194444444444444,0.0194444444444444
"15",1,0.0588235294117647,0.00549450549450549,-0.994505494505495,0.908695652173913,1,1,1,1,1.66086956521739,0,0,0.00471641190667739,0.00165176983154938,NA,0,1,0.286614173228346,0.103375638694537,0,"PP 15",15,"low","4.21.2018",15,"PP",18,2,"2:38",310,"EL",20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,0.0194444444444444,0.0194444444444444
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD 16",16,"up","4.21.2018",16,"SD",38,12,"3:04",68,"SD",168,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0,1,0.0194444444444444,0.0194444444444444
"17",2,0.117647058823529,0.019579012536759,-0.490210493731621,0.404347826086957,0.9375,0.684653196881458,0.9375,1,1.54782608695652,0.00470875270990256,0,0.00508849557522124,0.00245990688533767,NA,0.693147180559945,2,0.398425196850394,0.206751277389075,0.035893275693517,"PP 17",17,"up","4.21.2018",17,"PP",29,2,"",600,"EC",43,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,0.0194444444444444,0.0194444444444444
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 18",18,"up","4.21.2018",18,"PP",28,3,"3:37",1810,"PP",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,0.0194444444444444,0.0194444444444444
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EL 19",19,"up","4.21.2018",19,"EL",75,24,"3:59",595,"PP",126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0,0.0194444444444444,0.0194444444444444
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EL 20",20,"up","4.22.2018",20,"EL",68,27,"4:16",145,"EC",126,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 21",21,"up","4.22.2018",21,"PP",22,1,"9:01",100,"PP",60,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"22",1,0.0588235294117647,0.0454545454545455,-0.954545454545455,0.682608695652174,1,1,1,1,2.02173913043478,0,0,0.00362530168946098,0.0015768272059547,NA,0,1,0.0346456692913386,0.103375638694537,0.406026425555071,"AS 22",22,"up","4.22.2018",22,"AS",56,82,"9:16",965,"PP",220,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0.0347222222222222,0.0347222222222222
"23",4,0.235294117647059,0.199825864939435,-0.200043533765141,0.00434782608695652,0.9765625,0.725138915161083,0.8125,1,1.61739130434783,0.021801982801608,0.0721055010729529,0.00485720032180209,0.00549368752711192,NA,0.885574151576672,2.42437595123906,0.302362204724409,0.250621412395014,0.285469465258783,"EC 23",23,"up","4.22.2018",23,"EC",45,180,"",230,"EC",33,0,0,1,0,0,0,0,0,0,0,0,11,1,1,0,1,0,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP 24",24,"up","4.22.2018",24,"PP",30,2,"9:55",495,"SD",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0.0347222222222222,0.0347222222222222
"25",1,0.0588235294117647,0.0833333333333333,-0.916666666666667,0.995652173913044,1,1,1,1,2.15652173913043,0,0,0.00339903459372486,0.00151353270748419,NA,0,1,0.0188976377952756,0.103375638694537,0.522501257356411,"SD 25",25,"low","4.22.2018",25,"SD",50,29,"10:18",285,"SD",155,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"26",2,0.117647058823529,0.162659123055163,-0.418670438472419,0.234782608695652,0.96875,0.726483157256779,0.9375,1,1.8,0.0037002777093448,0.000845539846994453,0.00424376508447305,0.00279351798628731,NA,0.636514168294813,1.88988157484231,0.17007874015748,0.195367714856362,0.304786895223466,"AS 26",26,"low","4.22.2018",26,"AS",54,56,"10:35",245,"AS",11,0,2,0,0,0,0,0,0,0,0,0,3,2,2,0,2,0,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"27",2,0.117647058823529,0.03056802352577,-0.484715988237115,0.230434782608696,0.979166666666667,0.775604602874429,0.9375,1,1.54782608695652,0.00470875270990256,0,0.00508849557522124,0.0035615564691257,NA,0.562335144618808,1.75476535060332,0.398425196850394,0.181399988877662,0.0955488469245212,"PP 27",27,"low","4.22.2018",27,"PP",32,3,"10:50",170,"AS",71,0,2,0,0,0,0,0,0,0,0,0,4,2,2,0,0,2,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"28",1,0.0588235294117647,0.00549450549450549,-0.994505494505495,0.821739130434783,1,1,1,1,1.66086956521739,0,0,0.00471641190667739,0.00165176983154938,NA,0,1,0.286614173228346,0.103375638694537,0,"EL 28",28,"low","4.22.2018",28,"EL",56,117,"11:04",160,"AS",78,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"29",1,0.0588235294117647,0.0454545454545455,-0.954545454545455,0.708695652173913,1,1,1,1,2.02173913043478,0,0,0.00362530168946098,0.0015768272059547,NA,0,1,0.0346456692913386,0.103375638694537,0.406026425555071,"AS 29",29,"low","4.22.2018",29,"AS",49,29,"11:19",690,"AS",64,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"30",1,0.0588235294117647,0.0142857142857143,-0.985714285714286,0.865217391304348,1,1,1,1,2.02173913043478,0,0,0.00377614641995173,0.00160188058365056,NA,0,1,0.110236220472441,0.103375638694537,0.183610725827904,"LT 30",30,"low","4.22.2018",30,"LT",165,46,"11:33",80,"LT",200,2,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"31",4,0.235294117647059,0.0972916225074335,-0.225677094373142,0.0347826086956522,0.8125,0.450693909432999,0.8125,1,1.40434782608696,0.0468409130410558,0.00221327023685801,0.00554605792437651,0.00278029457431726,NA,1.38629436111989,4,0.445275590551181,0.413502554778149,0.127580334455897,"PP 31",31,"low","4.22.2018",31,"PP",28,7,"11:57",230,"AS",166,0,4,0,0,0,0,0,0,0,0,0,4,4,4,0,0,4,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AS 32",32,"low","4.22.2018",32,"AS",4,9,"12:10",40,"AS",187,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"33",2,0.117647058823529,0.0483516483516484,-0.475824175824176,0.217391304347826,0.979166666666667,0.775604602874429,0.9375,1,1.58260869565217,0.0029881757522496,0,0.00496781979082864,0.00343840893871017,NA,0.562335144618808,1.75476535060332,0.360236220472441,0.181399988877662,0.200577530637514,"LT 33",33,"low","4.22.2018",33,"LT",290,120,"12:25",75,"LT",195,1,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC 34",34,"low","4.22.2018",34,"EC",39,38,"12:47",90,"AS",140,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"35",1,0.0588235294117647,0.00549450549450549,-0.994505494505495,0.88695652173913,1,1,1,1,1.66086956521739,0,0,0.00471641190667739,0.00165176983154938,NA,0,1,0.286614173228346,0.103375638694537,0,"LT 35",35,"low","4.22.2018",35,"LT",155,44,"12:58",160,"AS",188,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC 36",36,"low","4.22.2018",36,"EC",47,20,"1:28",200,"AS",219,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,1,NA,NA,NA,2,0.0347222222222222,0.0347222222222222
