"","weighted connectance"
"1",0.133887266916347
"2",0.13043760245904
"3",0.133157209926548
"4",0.127660448677099
"5",0.130303157425452
"6",0.131430379904694
"7",0.127788109301588
"8",0.131364196662231
"9",0.130128092763789
"10",0.132887527640938
"11",0.131854802114378
"12",0.135557258971712
"13",0.133303675675227
"14",0.129835666796546
"15",0.128326689807376
"16",0.131994582363191
"17",0.126027625962627
"18",0.127675205632656
"19",0.131870686016722
"20",0.129581960554746
"21",0.135647890811614
"22",0.129785508277611
"23",0.13528119607152
"24",0.130287519340491
"25",0.125928971408525
"26",0.132513245923944
"27",0.131712534532631
"28",0.130109490134305
"29",0.133669272948589
"30",0.135696532056498
"31",0.133951604048208
"32",0.134167837882163
"33",0.127521005513333
"34",0.131882982787747
"35",0.133488755623178
"36",0.131095090736465
"37",0.136942826532898
"38",0.132273977574661
"39",0.136988701058883
"40",0.131149018785808
"41",0.1302607159147
"42",0.129602946891635
"43",0.130656807388053
"44",0.128009276347437
"45",0.131935480994669
"46",0.131464197462593
"47",0.127738949177814
"48",0.13361983545331
"49",0.127258922859964
"50",0.130922294766519
"51",0.130683487698834
"52",0.129160587902444
"53",0.131314441069024
"54",0.130592905933204
"55",0.130431040436505
"56",0.130251241287384
"57",0.131011392140412
"58",0.132741638944598
"59",0.13086613596047
"60",0.12862288354593
"61",0.129849032877488
"62",0.134398231351005
"63",0.129802236339206
"64",0.131245756611168
"65",0.141252645933776
"66",0.135086160386641
"67",0.130254195777034
"68",0.129437961860173
"69",0.129125853227398
"70",0.13421519279012
"71",0.129907302051597
"72",0.135002650686867
"73",0.130738672581617
"74",0.127560410114131
"75",0.133431653472837
"76",0.134724639122621
"77",0.1387506404074
"78",0.136692410882672
"79",0.126659231736312
"80",0.128221131442848
"81",0.131704209360714
"82",0.130447780513095
"83",0.132353742971963
"84",0.125990982074791
"85",0.135654402333104
"86",0.133316033293114
"87",0.136312040244046
"88",0.133787809276652
"89",0.129633041156157
"90",0.133570047813037
"91",0.128152187648997
"92",0.134244439282557
"93",0.136209646925173
"94",0.126403545038135
"95",0.128985716608347
"96",0.129344224370941
"97",0.125421736229128
"98",0.131608576799941
"99",0.130810339131737
"100",0.127677264315565
"101",0.129375918541847
"102",0.126674644833415
"103",0.134491486376644
"104",0.129440299678171
"105",0.128740108422635
"106",0.133668667266035
"107",0.138501040596928
"108",0.135556963977855
"109",0.13142025750411
"110",0.134621952333464
"111",0.133499522520029
"112",0.128141027802834
"113",0.128109197547323
"114",0.1318178002324
"115",0.131793465305721
"116",0.128714676020878
"117",0.133066138749418
"118",0.12761204075457
"119",0.128765167373683
"120",0.132826008155983
"121",0.13009466234794
"122",0.134099066609479
"123",0.131039870897542
"124",0.130987389507701
"125",0.127401163414213
"126",0.133380287036362
"127",0.137630734095657
"128",0.132036410590166
"129",0.126603759506085
"130",0.129140255705789
"131",0.132295019164542
"132",0.130457169633759
"133",0.134168865424652
"134",0.130794479600815
"135",0.128006597496113
"136",0.130300017397431
"137",0.128760662015898
"138",0.13267188535687
"139",0.135330340578998
"140",0.130863104830712
"141",0.13042480576386
"142",0.129635446727746
"143",0.129927066018099
"144",0.129884864773103
"145",0.131588812881388
"146",0.134483152986383
"147",0.134985525734572
"148",0.133471130075359
"149",0.13555392681342
"150",0.131529567488448
"151",0.135414149068145
"152",0.123981628926978
"153",0.127546216595287
"154",0.13049990442707
"155",0.133804481608308
"156",0.132555061653007
"157",0.128418466793658
"158",0.130253425672446
"159",0.13211044158596
"160",0.124941991967114
"161",0.126379860628697
"162",0.128742410593118
"163",0.134692416811254
"164",0.131923470768399
"165",0.133118965959073
"166",0.132343001083922
"167",0.13300251861791
"168",0.134002820531815
"169",0.136462170319488
"170",0.131512048875364
"171",0.132694648332788
"172",0.131783165195151
"173",0.13248004610716
"174",0.130846383304824
"175",0.136383465088177
"176",0.133867309799301
"177",0.137493744409333
"178",0.123991664256994
"179",0.134546345003007
"180",0.134910290458076
"181",0.132835639262029
"182",0.134302660776651
"183",0.127583733034154
"184",0.131999108527963
"185",0.129617351967303
"186",0.131104928967036
"187",0.131640343043164
"188",0.131690701411134
"189",0.12905548094713
"190",0.130127401935189
"191",0.126235042199545
"192",0.131651957472619
"193",0.133862396746781
"194",0.131464569838704
"195",0.130360458605025
"196",0.128819282706541
"197",0.129789899308307
"198",0.131377253624704
"199",0.133469887591687
"200",0.129278270591545
"201",0.126303200503962
"202",0.131685124003759
"203",0.131894331006443
"204",0.134997431408005
"205",0.134689912370849
"206",0.130166555681118
"207",0.129222044353028
"208",0.132572686491037
"209",0.129050874768784
