"","t"
"1",0.161937427161613
"2",0.158431012685878
"3",0.147226153792931
"4",0.135931967437759
"5",0.180665573249123
"6",0.172513852630976
"7",0.16580575130952
"8",0.168062572441722
"9",0.164416875209668
"10",0.160934676501017
"11",0.146740910417729
"12",0.157787132777987
"13",0.155799421468696
"14",0.160662297626029
"15",0.159088275727634
"16",0.14023375571108
"17",0.159358710697787
"18",0.14968414197531
"19",0.141690814551329
"20",0.1591848093586
"21",0.162381750944962
"22",0.164130318081101
"23",0.130722423954803
"24",0.161331335343541
"25",0.180547509904212
"26",0.151841952678602
"27",0.153841368160895
"28",0.144207230978243
"29",0.156552029061291
"30",0.149080245634699
"31",0.148853732736112
"32",0.166149258297219
"33",0.154180931579996
"34",0.156921461319277
"35",0.157161484988454
"36",0.170593237823891
"37",0.150408211241975
"38",0.158366188435696
"39",0.166626244426781
"40",0.160883805842876
"41",0.152328333104427
"42",0.140472521758928
"43",0.161375207149824
"44",0.162275830729804
"45",0.152267213683814
"46",0.152805630676487
"47",0.152074596357045
"48",0.173337623050957
"49",0.143579811695735
"50",0.152262975835149
"51",0.164999228062034
"52",0.164424295821858
"53",0.156221775241594
"54",0.164703294604781
"55",0.156895702247857
"56",0.161655501203361
"57",0.15970118767397
"58",0.155137644721704
"59",0.15569760021087
"60",0.154885809859723
"61",0.148664082983254
"62",0.162331751970815
"63",0.159298541165477
"64",0.166068191111159
"65",0.154191814137514
"66",0.168941136105458
"67",0.168482322543472
"68",0.1445724809644
"69",0.130247598651588
"70",0.170142516839077
"71",0.162656479700829
"72",0.158360159684509
"73",0.154753804526578
"74",0.14976613578401
"75",0.130262343222328
"76",0.135356599638642
"77",0.170808131993627
"78",0.146945088979991
"79",0.145508106438227
"80",0.157241327439058
"81",0.153938452421244
"82",0.147045395998765
"83",0.145740444924932
"84",0.16666648156572
"85",0.151332324147813
"86",0.157988047013215
"87",0.147051090364707
"88",0.152151200101827
"89",0.160882758550166
"90",0.154864714148915
"91",0.148533964801896
"92",0.14198905964528
"93",0.15200910214058
"94",0.179364791916724
"95",0.160004237635996
"96",0.16104497995593
"97",0.15175894409291
"98",0.165430246637617
"99",0.166288175158597
"100",0.165319677627763
"101",0.163751506980487
"102",0.163276157814189
"103",0.16505566891533
"104",0.170608105893805
"105",0.143928870376184
"106",0.142708905433707
"107",0.163488437702741
"108",0.155214480809924
"109",0.159598443060897
"110",0.170243777670142
"111",0.140598578971051
"112",0.152019716846403
"113",0.139322814991243
"114",0.156072214343892
"115",0.15104023085847
"116",0.178900711197358
"117",0.15490056541701
"118",0.158095284639958
"119",0.152322212929947
"120",0.149801588892415
"121",0.153625590717652
"122",0.16963801648474
"123",0.16268949241721
"124",0.149510320980623
"125",0.144432743266894
"126",0.157702242378179
"127",0.149377223428671
"128",0.151942553373304
"129",0.149199074380167
"130",0.150582330808505
"131",0.163184664582539
"132",0.163681115182487
"133",0.163064384766608
"134",0.160698473631478
"135",0.159583074868318
"136",0.161351439854315
"137",0.141336959295975
"138",0.149415087579666
"139",0.144242264389125
"140",0.162821799357256
"141",0.1543906637097
"142",0.133657450819334
"143",0.151439118319218
"144",0.177163912912794
"145",0.165034014195955
"146",0.165701378401729
"147",0.157915469039243
"148",0.15567009095517
"149",0.165174085462166
"150",0.161413157650991
"151",0.163479866639494
"152",0.148746054298177
"153",0.145802286900855
"154",0.162831221924542
"155",0.155578708395238
"156",0.155786670794345
"157",0.164447308967717
"158",0.158095514320567
"159",0.165643726028847
"160",0.163881358838292
"161",0.151096716058063
"162",0.136139323373034
"163",0.156726673521537
"164",0.162600074766953
"165",0.16468168525803
"166",0.171099930202967
"167",0.157504954005709
"168",0.162693387264032
"169",0.140901591341159
"170",0.153397078554508
"171",0.153940793542442
"172",0.161921490956322
"173",0.149731268279101
"174",0.162482858045805
"175",0.160103973865463
"176",0.146374661722377
"177",0.161010441143433
"178",0.164860102930854
"179",0.143126917347479
"180",0.14212110661008
"181",0.162371179059943
"182",0.153040319725824
"183",0.154126568571701
"184",0.146155967332231
"185",0.135234449098453
"186",0.160079493180556
"187",0.144221259937749
"188",0.16094788338671
"189",0.167986290058679
"190",0.154398909384479
"191",0.175498874180048
"192",0.149725048967669
"193",0.153887793755628
"194",0.163960288740507
"195",0.152683508988093
"196",0.155611591646455
"197",0.193653282408575
"198",0.16017834155911
"199",0.148707947407999
"200",0.152416758588896
"201",0.158372470161761
"202",0.17244809744907
"203",0.159026552425896
"204",0.162049427744852
"205",0.175725131528969
"206",0.161329958536672
"207",0.152175196965671
"208",0.154411896589996
"209",0.134447196417516
"210",0.15111112447009
"211",0.163509770959884
"212",0.165506369274654
"213",0.169447957538925
"214",0.173547205151066
"215",0.165120502007
"216",0.158823745200842
"217",0.162183594540934
"218",0.151267843025565
"219",0.155480843909615
"220",0.148824392376588
"221",0.147609714589413
"222",0.149192988063945
"223",0.153166875737684
"224",0.156707873017625
"225",0.151300362454393
"226",0.149695088849517
"227",0.160645061949801
"228",0.167949600924159
"229",0.138256659880085
"230",0.159257873556283
"231",0.140390698246333
"232",0.160765566131417
"233",0.136174228583364
"234",0.166227851756962
"235",0.165777941695847
"236",0.15043671470669
"237",0.140682700921767
"238",0.166098269767645
"239",0.153773858512308
"240",0.149782180752134
"241",0.15930506720152
"242",0.177176623336857
"243",0.156422948411181
"244",0.15418385006834
"245",0.140384683461185
"246",0.155129148178789
"247",0.146703351467964
"248",0.163220339663151
"249",0.151831754177529
"250",0.152098391009476
"251",0.158416044007168
"252",0.132452979476693
"253",0.146986365741622
"254",0.157890884717015
"255",0.14646122676752
"256",0.159343039095322
"257",0.144257123040511
"258",0.153439673181495
"259",0.145342371646901
"260",0.15318327483128
"261",0.163022752441693
"262",0.167567986307176
"263",0.162759597383473
"264",0.144273018626108
"265",0.153270023969992
"266",0.156818825072774
"267",0.159247388818314
"268",0.150959115964221
"269",0.161789648111803
"270",0.152216022138162
"271",0.159571861601673
"272",0.155737140229556
"273",0.163003331671246
"274",0.158456925778204
"275",0.1514598112196
"276",0.169095894940575
"277",0.146891899995381
"278",0.150814619115056
"279",0.142819524776943
"280",0.16946256355541
"281",0.146455710609377
"282",0.147722291693144
"283",0.167899660189273
"284",0.161525367229505
"285",0.16089189456358
"286",0.145118936460057
"287",0.158917617785075
"288",0.143715302430027
"289",0.153445576353606
"290",0.133908153001831
"291",0.159998329138979
"292",0.150284631848802
"293",0.146743384497779
"294",0.145270312784848
"295",0.151652738385613
"296",0.168608139002404
"297",0.143590197827188
"298",0.182442727277439
"299",0.153641549419394
"300",0.152700607461876
"301",0.139078009317381
"302",0.162931785940837
"303",0.159145026048284
"304",0.168841052745738
"305",0.156483094965276
"306",0.165410183491244
"307",0.156404753323
"308",0.159851768604421
"309",0.134053917808708
"310",0.168944488972904
"311",0.160899941382822
"312",0.165768935222431
"313",0.148819756613394
"314",0.167621159358827
"315",0.134836396859628
"316",0.151374842095656
"317",0.168181126324769
"318",0.164212987934372
"319",0.153092215302426
"320",0.141968729289417
"321",0.1487328594833
"322",0.162571876581549
"323",0.167086976604159
"324",0.158171288240606
"325",0.145554219482651
"326",0.152051165937515
"327",0.145638491084805
"328",0.161622731665585
"329",0.149890806070625
"330",0.160897311335072
"331",0.159690375025167
"332",0.171929457155383
"333",0.164994760952691
"334",0.158475372669466
"335",0.165721024503336
"336",0.150212448684897
"337",0.142244588494293
"338",0.157359406680592
"339",0.158596305601846
"340",0.158750096261649
"341",0.149140075763085
"342",0.143580432429028
"343",0.17054098496975
"344",0.165572231526432
"345",0.159100760911342
"346",0.165749837019529
"347",0.138650357759151
"348",0.160179892505079
"349",0.14014871948223
"350",0.157129299799017
"351",0.135878109022761
"352",0.167414615382952
"353",0.146445501263226
"354",0.13831005122741
"355",0.160287818269866
"356",0.128262491055243
"357",0.168082932235799
"358",0.165442375532844
"359",0.15832953129454
"360",0.14921480584361
"361",0.149265716631159
"362",0.145087900907877
"363",0.152507976777638
"364",0.154524678650023
"365",0.149554931302618
"366",0.152583072255986
"367",0.145085315870873
"368",0.150654959848924
"369",0.171947193623498
"370",0.153020894852844
"371",0.148030503658154
"372",0.160009944702904
"373",0.162605952505666
"374",0.155709997487402
"375",0.157672842759023
"376",0.16002386530438
"377",0.165705533298546
"378",0.143056475488939
"379",0.153656491374923
"380",0.153902260305036
"381",0.170717948722497
"382",0.150616709632221
"383",0.162486319951063
"384",0.150443830096036
"385",0.152420473181839
"386",0.15805358907562
"387",0.147158372877339
"388",0.162981736507354
"389",0.151940179740532
"390",0.146670593931668
"391",0.172199644909371
"392",0.151070809159162
"393",0.162284084080885
"394",0.160022211510362
"395",0.13826808246911
