Site,Date,Waypoint,Species,Height,N.flowers,Time,NN,NN.id,dist.lar,LT,AS,EC,SD,SM,SC,PP,HH,EL,LOTUS,BW
,5.7.2018,340,BW,33,5,11:07,70,BW,335,,,,,,,,,,,3
,5.7.2018,341,SC,52,14,11:23,70,AS,70,1,3,,,,,,,,,
,5.7.2018,342,AS,39,27,11:38,135,AS,400,,3,,,,,,,,,
,5.7.2018,343,SC,40,7,11:57,280,AS,370,,1,,,,,,,,,
,5.7.2018,344,AS,64,60,12:12,130,AS,450,,3,,,,,,,,,
,5.7.2018,345,LT,200,229,12:50,125,AS,730,,1,,,,,,,,,
,5.7.2018,346,AS,69,56,1:06,90,AS,470,,2,,,,,,,,,
,5.7.2018,347,AS,40,10,1:06,90,AS,620,,2,,,,,,,,,
,5.7.2018,348,SC,34,2,1:22,125,AS,510,,1,,,,,,,,,
,5.7.2018,349,LT,280,170,1:39,400,LT,400,,,,,,,,,,,
,5.7.2018,350,SC,68,23,1:59,1000,SC,missing,,,,,,,,,,,
,5.7.2018,351,SC,53,11,2:18,340,LT,340,,,,,,,,,,,
,5.7.2018,352,BW,50,9,2:34,20,LT,20,1,2,,,,,,,,,
,5.7.2018,353,LT,250,153,2:49,20,BW,305,,1,,,,,,,,,1
,5.7.2018,354,BW,36,7,3:02,35,BW,240,1,,,,,,,,,,2
,5.7.2018,355,BW,39,4,3:02,35,BW,250,1,,,,,,,,,,2
,5.7.2018,356,SC,34,5,3:20,180,LT,180,1,,,,,,,,,,1
,5.7.2018,357,LT,270,154,3:37,405,LT,405,,,,,,,,,,,
,5.7.2018,358,AS,46,46,3:49,135,AS,155,2,1,,,,,,,,,
,5.7.2018,359,SC,76,6,4:06,150,LT,150,3,,,,,,,,,,
,5.7.2018,360,LT,230,61,4:20,240,SC,560,,,,,,1,,,,,
,5.8.2018,361,AS,54,43,9:55,125,AS,1310,,2,,,,,,,,,
,5.8.2018,362,BW,36,8,10:15,250,SC,585,,,,,,1,,,,,
,5.8.2018,363,SC,70,3,10:30,0,HH,410,,1,,,,1,,,,,
,5.8.2018,364,HH,19,1,10:30,0,SC,410,,1,,,,,,1,,,
,5.8.2018,365,BW,46,13,10:44,235,LT,235,1,,,,,,,,,,
,5.8.2018,366,LT,225,175,10:59,130,LT,130,,,,,,1,,,,,5
,5.8.2018,367,BW,54,19,11:16,25,SC,400,,,,,,,,,,,6
,5.8.2018,368,SC,46,3,11:16,25,BW,470,2,1,,,,,,,,,
,5.8.2018,369,AS,69,81,11:31,105,LT,105,1,1,,,,,,,,,1
,5.8.2018,370,LT,270,301,11:44,105,AS,150,2,2,,,,,,,,,
,5.8.2018,371,AS,59,35,12:04,95,AS,240,1,1,,,,,,,,,
,5.8.2018,372,AS,56,63,12:04,95,AS,160,1,1,,,,,,,,,
,5.8.2018,373,LT,135,87,12:48,155,AS,495,,1,,,,,,,,,
,5.8.2018,374,SC,78,3,1:07,35,LT,315,,,,,,,,,,,
,5.8.2018,375,BW,53,20,1:24,340,LT,340,,,,,,,,,,,
,5.8.2018,376,EC,55,20,1:36,290,LT,290,1,,,,,,,,,,
,5.8.2018,377,LT,177,122,1:49,140,LT,140,1,,1,,,,,,,,
,5.8.2018,378,BW,42,16,2:12,110,LT,110,1,,,,,,,,,,2
,5.8.2018,379,BW,54,27,2:32,265,LT,265,1,,,,,,,,,,1
,5.8.2018,380,AS,48,25,2:51,240,LT,240,1,,,,,,,,,,
,5.8.2018,381,AS,56,62,3:08,160,AS,160,1,3,,,,,,,,,
,5.8.2018,382,SC,53,4,3:21,50,AS,400,,2,,,,,,,,,
,5.8.2018,383,SC,52,3,3:34,205,LT,205,1,,,,,,,,,,
,5.8.2018,384,LT,195,380,3:48,0,LT,0,1,1,,,,1,,,,,
,5.8.2018,385,SC,39,3,4:02,205,LT,205,1,,,,,,,,,,
,5.9.2018,386,AS,58,31,9:47,350,LT,350,,,,,,,,,,,
,5.9.2018,387,LT,155,94,10:02,225,AS,730,,1,,,,,,,,,
,5.9.2018,388,BW,39,3,10:16,115,AS,635,,1,,,,,,,,,
,5.9.2018,389,AS,40,13,10:16,115,BW,510,,,,,,,,,,,1
,5.9.2018,390,AS,33,31,10:39,660,AS,950,,,,,,,,,,,
,5.9.2018,391,LT,220,198,10:58,50,LT,50,,,,,,,,,,,
,5.9.2018,392,BW,34,5,11:14,75,BW,655,,,,,,,,,,,1
,5.9.2018,393,LT,210,465,11:30,470,BW,485,,,,,,,,,,,
,5.9.2018,394,BW,41,6,11:42,315,LT,315,,,,,,,,,,,
,5.9.2018,395,LT,62,40,11:56,250,BW,685,,,,,,,,,,,3
