1,pp,,,,,,,,,,
2,pp,,,,,,,,,,
3,lt,,,,,,,,,,
4,hh,,,,,,,,,LT,43
5,lt,,,,,,,,,PP,29
6,lt,,,,,,,,,SC,32
7,as,,,,,,,,,EC,41
8,as,,,,,,,,,EL,5
9,pp,,,,,,,,,SD,9
10,ec,,,,,,,,,AS,58
11,ec,,,,,,,,,BW,2
12,ec,,,,,,,,,SM,11
13,lt,,,,,,,,,HH,3
14,as,,,,,,,,,,
15,pp,,,,,,,,,,
16,sd,,,,,,,,,,
17,pp,,,,,,,,,,
18,pp,,,,,,,,,,
19,el,,,,,,,,,,
20,el,,,,,,,,,,
21,pp,,,,,,,,,,
22,as,,,,,,,,,,
23,ec,,,,,,,,,,
24,pp,,,,,,,,,,
25,sd,,,,,,,,,,
26,as,,,,,,,,,,
27,pp,,,,,,,,,,
28,el,,,,,,,,,,
29,as,,,,,,,,,,
30,lt,,,,,,,,,,
31,pp,,,,,,,,,,
32,as,,,,,,,,,,
33,le,,,,,,,,,,
34,ec,,,,,,,,,,
35,lt,,,,,,,,,,
36,ec,,,,,,,,,,
37,as,,,,,,,,,,
38,lt,,,,,,,,,,
39,as,,,,,,,,,,
40,lt,,,,,,,,,,
41,ec,,,,,,,,,,
42,ec,,,,,,,,,,
43,ec,,,,,,,,,,
44,as,,,,,,,,,,
45,ec,,,,,,,,,,
46,sm,,,,,,,,,,
47,as,,,,,,,,,,
48,sd,,,,,,,,,,
49,sd,,,,,,,,,,
50,sm,,,,,,,,,,
51,sm,,,,,,,,,,
52,sd,,,,,,,,,,
53,pp,,,,,,,,,,
54,as,,,,,,,,,,
55,pp,,,,,,,,,,
56,pp,,,,,,,,,,
57,as,,,,,,,,,,
58,lt,,,,,,,,,,
59,lt,,,,,,,,,,
60,as,,,,,,,,,,
61,lt,,,,,,,,,,
62,lt,,,,,,,,,,
63,?,,,,,,,,,,
64,as,,,,,,,,,,
65,ec,,,,,,,,,,
66,ec,,,,,,,,,,
67,ec,,,,,,,,,,
68,lt,,,,,,,,,,
69,sm,,,,,,,,,,
70,pp,,,,,,,,,,
71,as,,,,,,,,,,
72,pp,,,,,,,,,,
73,as,,,,,,,,,,
74,pp,,,,,,,,,,
75,sm,,,,,,,,,,
76,sd,,,,,,,,,,
77,pp,,,,,,,,,,
78,as,,,,,,,,,,
79,as,,,,,,,,,,
80,pp,,,,,,,,,,
81,sm,,,,,,,,,,
82,lt,,,,,,,,,,
83,as,,,,,,,,,,
84,as,,,,,,,,,,
85,lt,,,,,,,,,,
86,lt,,,,,,,,,,
87,sc,,,,,,,,,,
88,sc,,,,,,,,,,
89,as,,,,,,,,,,
90,ec,,,,,,,,,,
91,ec,,,,,,,,,,
92,lt,,,,,,,,,,
93,sc,,,,,,,,,,
94,ec,,,,,,,,,,
95,pp,,,,,,,,,,
96,lt,,,,,,,,,,
97,pp,,,,,,,,,,
98,as,,,,,,,,,,
99,pp,,,,,,,,,,
100,as,,,,,,,,,,
101,lt,,,,,,,,,,
102,pp,,,,,,,,,,
103,as,,,,,,,,,,
104,ec,,,,,,,,,,
105,lt,,,,,,,,,,
106,ec,,,,,,,,,,
107,el,,,,,,,,,,
108,as,,,,,,,,,,
109,lt,,,,,,,,,,
110,ec,,,,,,,,,,
111,ec,,,,,,,,,,
112,sc,,,,,,,,,,
113,as,,,,,,,,,,
114,sc,,,,,,,,,,
115,sc,,,,,,,,,,
116,sd,,,,,,,,,,
117,sm,,,,,,,,,,
118,lt,,,,,,,,,,
119,sc,,,,,,,,,,
120,as,,,,,,,,,,
121,pp,,,,,,,,,,
122,pp,,,,,,,,,,
123,as,,,,,,,,,,
124,pp,,,,,,,,,,
125,sc,,,,,,,,,,
126,sc,,,,,,,,,,
127,lt,,,,,,,,,,
128,as,,,,,,,,,,
129,ec,,,,,,,,,,
130,hh,,,,,,,,,,
131,lt,,,,,,,,,,
132,ec,,,,,,,,,,
133,lt,,,,,,,,,,
134,as,,,,,,,,,,
135,sm,,,,,,,,,,
136,as,,,,,,,,,,
137,sc,,,,,,,,,,
138,sc,,,,,,,,,,
139,sc,,,,,,,,,,
140,pp,,,,,,,,,,
141,as,,,,,,,,,,
142,as,,,,,,,,,,
143,as,,,,,,,,,,
144,hh,,,,,,,,,,
145,lt,,,,,,,,,,
146,ec,,,,,,,,,,
147,ec,,,,,,,,,,
