Date,WP,Species,,Quantity,nick,fun.grp,ID,Notes,Voucher,,,,,,
5.6.2018,312,SC,2,2,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.6.2018,312,SC,2,2,ashmeadiella,bee,ashmeadiella,small,,,,,,,
5.6.2018,312,SC,V,1,ashmeadiella,bee,ashmeadiella,,small,,,,,,
5.6.2018,314,SC,1,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.6.2018,322,SC,2,2,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.6.2018,326,SC,1,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.7.2018,341,SC,5,5,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.7.2018,350,SC,4,4,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.7.2018,351,SC,6,6,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.7.2018,356,SC,4,4,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.7.2018,359,SC,1,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.8.2018,374,SC,3,3,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.8.2018,382,SC,1,1,ashmeadiella,bee,ashmeadiella,,,,,,,,
5.8.2018,385,SC,2,2,ashmeadiella,bee,ashmeadiella,,,,,,,,
4.21.2018,15,PP,V,1,ashmeadiella,bee,ashmeadiella ,"different, larger, light colour tarsia",,,,,,,
4.22.2018,27,PP,2,2,cactus meg,bee,ashmeadiella ,many vouchers,,,,,,,
4.23.2018,53,PP,1,1,cactus meg,bee,ashmeadiella ,,,,,,,,
5.6.2018,327,AS,V,1,ashmeadiella,bee,ashmeadiella - red legs,,"different, red legs",,,,,,
4.23.2018,49,SD,1,1,"bee - small/medium, grey fuzzy, round and longish abdomen. Small apiaform or megachile. Medium length antenna. Have spotted several times of salvia dorria",bee,"bee - small/medium, grey fuzzy, round and longish abdomen. Small apiaform or megachile. Medium length antenna. Have spotted several times of salvia dorria",,,,,,,,
4.27.2018,143,EC,1,1,"bee, grey faced. Very fast!",bee,"bee, grey faced. Very fast!",,,,,,,,
