"","network.indiv","network.f.sp"
"connectance",0.0965113318054494,0.417647058823529
"web asymmetry",-0.862903225806452,0.259259259259259
"links per species",1.52822580645161,2.62962962962963
"number of compartments",1,1
"compartment diversity",NA,NA
"cluster coefficient",0.0606060606060606,0.4
"nestedness",13.0199989980031,26.2140869857936
"NODF",16.6828396121764,59.1168990616505
"weighted nestedness",0.472961772759102,0.367771118057478
"weighted NODF",4.65012620350317,32.827545382794
"interaction strength asymmetry",-0.251131244364492,0.0868410961489705
"specialisation asymmetry",0.452914333191558,-0.0927251685671381
"linkage density",20.0743286143878,4.06046553723721
"weighted connectance",0.080944873445112,0.150387612490267
"Fisher alpha",396.232879012541,20.4872004406543
"Shannon diversity",5.71179782343521,3.40430543959405
"interaction evenness",0.690194836595029,0.662858069941957
"Alatalo interaction evenness",0.758080573142559,0.549168786168948
"H2",0.566651806951428,0.425323194964107
"number.of.species.HL",17,17
"number.of.species.LL",231,10
"mean.number.of.shared.partners.HL",1.49264705882353,2.08823529411765
"mean.number.of.shared.partners.LL",0.294974590626765,3.26666666666667
"cluster.coefficient.HL",0.206435559191465,0.602362204724409
"cluster.coefficient.LL",0.121630384437239,0.547660954145438
"weighted.cluster.coefficient.HL",0.0581225540887539,0.897384689124584
"weighted.cluster.coefficient.LL",0.719355431089891,0.852521235663622
"niche.overlap.HL",0.0435541790778248,0.313864838776154
"niche.overlap.LL",0.168437970827639,0.286257600590812
"togetherness.HL",0.0192155290343884,0.262352941176471
"togetherness.LL",0.0698124098124098,0.212345679012346
"C.score.HL",0.864951752103777,0.324705882352941
"C.score.LL",0.751899638203986,0.258258978675645
"V.ratio.HL",22.8395192647579,2.04929577464789
"V.ratio.LL",0.527203558141486,3.91014492753623
"discrepancy.HL",244,19
"discrepancy.LL",260,20
"extinction.slope.HL",1.48610167159751,6.77144013183795
"extinction.slope.LL",12.1784037234758,4.27923271681731
"robustness.HL",0.594476910835227,0.848724530708533
"robustness.LL",0.914048385476006,0.799385662596144
"functional.complementarity.HL",172.04573178599,488.730750766883
"functional.complementarity.LL",243.608621080779,422.245965878979
"partner.diversity.HL",3.44241187620142,1.13491949236026
"partner.diversity.LL",0.530992809948324,1.51037130087725
"generality.HL",38.2710988496181,3.25966134772777
"vulnerability.LL",1.87755837915739,4.86126972674665
