"","Id","site","name","Descript","Type","Comment","Symbol","DateTimeS","Elevation","y","x","Site","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","uniID","Quantity","density","shrub.density","cactus.density"
"27","0","L","189",NA,"WPT",NA,"Flag, Blue","2018-04-28T22:00:15Z",1295.829102,3849267.29692,622559.266664,"","EC",60,130,"2:58",30,"LT",93,1,0,2,0,0,0,0,0,0,0,0,"EC 189",0,3,3,0
"28","0","L","190",NA,"WPT",NA,"Flag, Blue","2018-04-28T22:09:34Z",1293.979736,3849253.92754,622554.868889,"","EC",43,110,"2:58",20,"LT",53,1,1,0,0,0,0,0,0,0,0,0,"EC 190",1,2,2,0
"29","0","L","192",NA,"WPT",NA,"Flag, Blue","2018-04-28T22:14:16Z",1295.64978,3849230.30023,622546.489358,"","EC",53,360,"3:16",95,"EC",113,1,0,2,0,0,0,0,0,0,0,0,"EC 192",2,3,3,0
"30","0","L","193",NA,"WPT",NA,"Flag, Blue","2018-04-28T22:33:18Z",1295.332153,3849213.20303,622462.150295,"","LT",205,89,"3:35",100,"LT",10,1,1,0,0,0,0,0,0,0,0,0,"LT 193",1,2,2,0
"31","0","L","194",NA,"WPT",NA,"Flag, Blue","2018-04-28T22:33:38Z",1295.017456,3849211.70645,622458.05169,"","SC",68,2,"3:35",120,"SM",31,3,0,1,0,1,0,0,0,0,0,0,"SC 194",0,5,5,0
"32","0","L","195",NA,"WPT",NA,"Flag, Blue","2018-04-28T22:56:49Z",1303.97168,3849396.34593,622404.614051,"","SD",78,23,"3:58",120,"SM",59,0,0,0,0,1,0,0,0,0,0,0,"SD 195",1,1,1,0
"33","0","L","196",NA,"WPT",NA,"Flag, Blue","2018-04-28T23:10:08Z",1301.212158,3849358.656,622406.397387,"","SC",72,9,"3:58",163,"SC",11,0,0,0,1,0,1,1,0,0,0,0,"SC 196",3,3,1,2
"34","0","L","197",NA,"WPT",NA,"Flag, Blue","2018-04-30T17:53:24Z",1307.693481,3849358.77918,622432.296307,"","AS",48,36,"10:56",65,"AS",138,0,6,0,0,0,0,0,0,0,0,0,"AS 197",0,6,6,0
"35","0","L","198",NA,"WPT",NA,"Flag, Blue","2018-04-30T17:53:47Z",1308.623291,3849356.43324,622431.046206,"","SC",73,2,"10:56",70,"AS",99,0,9,0,0,0,0,0,0,0,0,0,"SC 198",2,9,9,0
"36","0","L","199",NA,"WPT",NA,"Flag, Blue","2018-04-30T18:12:43Z",1301.939209,3849369.76878,622482.852569,"","LT",185,55,"11:17",65,"AS",142,0,1,0,0,0,1,0,0,0,0,0,"LT 199",5,2,1,1
"37","0","L","200",NA,"WPT",NA,"Flag, Blue","2018-04-30T18:13:05Z",1301.847046,3849368.10029,622482.508707,"","AS",42,39,"11:17",83,"AS",128,0,3,0,0,0,0,0,0,0,0,0,"AS 200",0,3,3,0
"38","0","L","201",NA,"WPT",NA,"Flag, Blue","2018-04-30T18:28:40Z",1300.483276,3849374.60734,622504.66165,"","SM",80,20,"11:32",30,"SM",206,0,0,0,0,11,0,0,0,0,0,1,"SM 201",0,12,12,0
"39","0","L","202",NA,"WPT",NA,"Flag, Blue","2018-04-30T18:29:02Z",1299.526367,3849368.97309,622498.055737,"","SC",48,9,"11:32",192,"LT",50,1,0,0,0,0,0,0,0,0,0,0,"SC 202",1,1,1,0
"40","0","L","204",NA,"WPT",NA,"Flag, Blue","2018-04-30T18:46:50Z",1296.927124,3849346.52243,622528.007939,"","AS",66,12,"11:49",40,"AS",103,0,2,0,0,0,0,0,0,0,0,0,"AS 204",0,2,2,0
"41","0","L","205",NA,"WPT",NA,"Flag, Blue","2018-04-30T18:47:02Z",1296.944336,3849347.53759,622529.27568,"","AS",68,29,"11:49",40,"AS",105,0,2,0,0,0,0,0,0,0,0,0,"AS 205",0,2,2,0
"42","0","L","203",NA,"WPT",NA,"Flag, Blue","2018-04-30T18:47:24Z",1296.477905,3849343.92651,622524.656267,"","BW",61,150,"11:49",133,"SC",98,0,1,0,0,0,1,0,0,0,0,0,"BW 203",0,2,1,1
"43","0","L","206",NA,"WPT",NA,"Flag, Blue","2018-04-30T19:03:32Z",1294.647949,3849333.14357,622539.53504,"","EC",54,90,"12:06",2,"EC",149,0,0,3,0,0,0,0,0,0,0,0,"EC 206",1,3,3,0
"44","0","L","207",NA,"WPT",NA,"Flag, Blue","2018-04-30T19:04:18Z",1295.106689,3849338.96391,622526.827447,"","SC",32,7,"12:06",200,"AS",116,0,0,0,0,0,0,0,0,0,0,0,"SC 207",3,0,0,0
"45","0","L","208",NA,"WPT",NA,"Flag, Blue","2018-04-30T19:19:15Z",1294.067017,3849313.82236,622554.619165,"","PP",38,6,"12:22",125,"SM",84,0,0,0,0,4,0,0,0,0,0,1,"PP 208",2,5,5,0
"46","0","L","209",NA,"WPT",NA,"Flag, Blue","2018-04-30T19:20:33Z",1293.071289,3849310.5661,622559.970857,"","SM",65,32,"12:22",30,"SM",107,0,1,1,0,9,0,0,0,0,0,0,"SM 209",4,11,11,0
"47","0","L","211",NA,"WPT",NA,"Flag, Blue","2018-04-30T19:42:19Z",1294.156738,3849276.62704,622543.583483,"","LT",275,165,"12:43",0,"AS",99,0,2,0,0,0,1,0,0,0,0,0,"LT 211",2,3,2,1
"48","0","L","210",NA,"WPT",NA,"Flag, Blue","2018-04-30T19:43:14Z",1294.278198,3849286.04405,622542.725693,"","SC",78,14,"12:43",70,"AS",154,0,2,0,0,0,0,0,0,0,0,0,"SC 210",0,2,2,0
"49","0","L","213",NA,"WPT",NA,"Flag, Blue","2018-04-30T20:18:21Z",1293.46875,3849281.99243,622505.072612,"","SC",55,7,"1:21",0,"AS",162,0,3,0,0,0,0,0,0,0,0,0,"SC 213",0,3,3,0
"50","0","L","212",NA,"WPT",NA,"Flag, Blue","2018-04-30T20:18:46Z",1293.786743,3849279.09327,622512.249986,"","AS",54,80,"1:21",38,"AS",145,2,4,0,0,0,0,0,0,0,0,0,"AS 212",1,6,6,0
"51","0","L","214",NA,"WPT",NA,"Flag, Blue","2018-04-30T20:35:04Z",1291.114014,3849272.46483,622522.588902,"","LT",90,10,"1:38",0,"EC",96,0,3,1,0,0,0,0,0,0,0,0,"LT 214",0,4,4,0
"52","0","L","215",NA,"WPT",NA,"Flag, Blue","2018-04-30T20:35:16Z",1291.108765,3849272.13088,622522.501828,"","EC",49,34,"1:38",0,"LT",2,1,3,0,0,0,0,0,0,0,0,0,"EC 215",1,4,4,0
"53","0","L","216",NA,"WPT",NA,"Flag, Blue","2018-04-30T20:35:33Z",1291.258789,3849270.48566,622523.896578,"","AS",52,145,"1:38",10,"AS",17,2,3,1,0,0,0,0,0,0,0,0,"AS 216",1,6,6,0
"54","0","L","217",NA,"WPT",NA,"Flag, Blue","2018-04-30T20:35:47Z",1291.250366,3849270.14074,622522.985913,"","AS",43,100,"1:38",10,"AS",19,2,0,1,0,0,0,0,0,0,0,0,"AS 217",0,3,3,0
"55","0","L","218",NA,"WPT",NA,"Flag, Blue","2018-04-30T20:50:44Z",1290.807739,3849259.71872,622548.293517,"","EC",64,115,"1:54",53,"AS",141,0,4,0,0,0,0,0,0,0,0,0,"EC 218",2,4,4,0
"56","0","L","219",NA,"WPT",NA,"Flag, Blue","2018-04-30T20:51:05Z",1291.445435,3849262.42298,622543.132215,"","LT",210,77,"1:54",55,"AS",133,0,2,1,0,0,0,0,0,0,0,0,"LT 219",1,3,3,0
"57","0","L","220",NA,"WPT",NA,"Flag, Blue","2018-04-30T21:07:33Z",1292.153809,3849257.03521,622555.010497,"","AS",63,165,"2:09",38,"AS",156,0,1,0,0,0,0,0,0,0,0,0,"AS 220",1,1,1,0
"58","0","L","221",NA,"WPT",NA,"Flag, Blue","2018-04-30T21:07:55Z",1291.746338,3849259.22291,622561.021744,"","LT",120,58,"2:09",70,"LT",190,1,0,0,0,0,0,0,0,0,0,0,"LT 221",0,1,1,0
"59","0","L","222",NA,"WPT",NA,"Flag, Blue","2018-04-30T21:24:38Z",1291.950195,3849235.63463,622555.570406,"","EC",43,60,"2:24",210,"EC",192,0,0,2,0,0,0,0,0,0,0,0,"EC 222",2,2,2,0
"60","0","L","223",NA,"WPT",NA,"Flag, Blue","2018-04-30T21:25:26Z",1290.595947,3849236.99726,622557.931847,"","EC",65,120,"2:29",135,"EC",167,0,0,2,0,0,0,0,0,0,0,0,"EC 223",0,2,2,0
"61","0","L","225",NA,"WPT",NA,"Flag, Blue","2018-04-30T21:45:17Z",1291.654541,3849201.00536,622578.913037,"","LT",195,70,"2:46",0,"LT",2,2,0,0,0,0,1,0,0,0,0,0,"LT 225",0,3,2,1
"62","0","L","224",NA,"WPT",NA,"Flag, Blue","2018-04-30T21:45:39Z",1292.352173,3849206.72233,622575.084333,"","SC",52,7,"2:46",116,"AS",153,0,1,0,0,0,0,0,0,0,0,0,"SC 224",0,1,1,0
"63","0","L","227",NA,"WPT",NA,"Flag, Blue","2018-04-30T22:00:06Z",1292.307373,3849190.16007,622580.796637,"","EC",50,240,"3:01",95,"AS",140,0,1,1,0,0,0,0,0,0,0,0,"EC 227",2,2,2,0
"64","0","L","226",NA,"WPT",NA,"Flag, Blue","2018-04-30T22:00:34Z",1291.14502,3849180.94562,622588.515908,"","AS",58,160,"3:01",93,"AS",139,0,1,0,0,0,1,0,0,0,0,0,"AS 226",0,2,1,1
