"","H2"
"1",0.179412967475179
"2",0.185654448727282
"3",0.242826886109281
"4",0.172657001281764
"5",0.1950344007443
"6",0.225558759123775
"7",0.192904971020593
"8",0.230444079541935
"9",0.18843335121874
"10",0.204054784487861
"11",0.195235341006165
"12",0.193600467382356
"13",0.196741382581082
"14",0.217523776236271
"15",0.192792994991159
"16",0.186999417856796
"17",0.214084209272631
"18",0.198250015649069
"19",0.19512336497673
"20",0.215158574361118
"21",0.234444155040896
"22",0.214173173505062
"23",0.219578506253934
"24",0.198922500213826
"25",0.200704181756651
"26",0.214107221069636
"27",0.15612731129644
"28",0.198072087184209
"29",0.199270248394707
"30",0.177654297729358
"31",0.2021611269156
"32",0.187671902421553
"33",0.192255498252841
"34",0.208652644845537
"35",0.200505685928598
"36",0.186562705443485
"37",0.207942883957387
"38",0.194798628592854
"39",0.190976481558753
"40",0.210463002500395
"41",0.213635676766744
"42",0.207687811352673
"43",0.204178580609872
"44",0.209960337651659
"45",0.181890145379766
"46",0.181217660815009
"47",0.198427944113929
"48",0.201925354764155
"49",0.214721861947807
"50",0.209813529732643
"51",0.216368555664192
"52",0.193890371876651
"53",0.204356509074732
"54",0.201488642350844
"55",0.208393860897086
"56",0.196580310135679
"57",0.204089616377442
"58",0.221595959948206
"59",0.177070777397031
"60",0.182763570206388
"61",0.168981662166678
"62",0.189689356115824
"63",0.202523139622869
"64",0.212828204375547
"65",0.176869837135166
"66",0.18495895236552
"67",0.213937401353615
"68",0.226733908537268
"69",0.198250015649069
"70",0.204445473307162
"71",0.208704332754575
"72",0.18834438698631
"73",0.177329561345483
"74",0.229759774884601
"75",0.201577606583274
"76",0.199181284162277
"77",0.204963041204064
"78",0.209724565500213
"79",0.199034476243261
"80",0.20639941899982
"81",0.193635299271936
"82",0.196379369873814
"83",0.1950344007443
"84",0.214756693837388
"85",0.195706885309057
"86",0.178091010142669
"87",0.198473967707939
"88",0.202980419399373
"89",0.191996714304391
"90",0.19023804455857
"91",0.199884889272878
"92",0.199706960808018
"93",0.23099276798468
"94",0.19538214892518
"95",0.199522729506352
"96",0.190887517326322
"97",0.189565559993813
"98",0.188108614834864
"99",0.20727039939263
"100",0.209997613975051
"101",0.184545251749214
"102",0.213773737415143
"103",0.209724565500213
"104",0.196054633489938
"105",0.217995320539162
"106",0.204304821165695
"107",0.167311956653288
"108",0.219688037849557
"109",0.219808122627832
"110",0.199833201363841
"111",0.209937325854654
"112",0.213086988323998
"113",0.18323511450928
"114",0.199560152889003
"115",0.220027038759821
"116",0.189600391883394
"117",0.209612589470778
"118",0.199471188656572
"119",0.198361991678504
"120",0.198014243497623
"121",0.144003288677544
"122",0.192993935253024
"123",0.212650275910687
"124",0.182763570206388
"125",0.196143597722368
"126",0.201252870199398
"127",0.213960413150621
"128",0.222644868805877
"129",0.208704332754575
"130",0.184692059668229
"131",0.192615066526298
"132",0.176398292832274
"133",0.195833125864879
"134",0.182473665712093
"135",0.196830346813512
"136",0.199270248394707
"137",0.218994985921607
"138",0.21717602805539
"139",0.178852458939857
"140",0.210759062772238
"141",0.186910453624365
"142",0.205163981465929
"143",0.216762327439083
"144",0.178763494707427
"145",0.2021611269156
"146",0.216975087793524
"147",0.1824530983489
"148",0.202709815358347
"149",0.208031848189818
"150",0.213500688940304
"151",0.187818710340569
"152",0.197836315032763
"153",0.225695604092282
"154",0.209997613975051
"155",0.201724414502289
"156",0.205052005436494
"157",0.210721786448846
"158",0.208851140673591
"159",0.182326857793077
"160",0.213152940759424
"161",0.1983389798815
"162",0.202686803561342
"163",0.213353881021289
"164",0.211865815316494
"165",0.194508724098558
"166",0.214264582171303
"167",0.187559926392117
"168",0.229500990936151
"169",0.205086837326075
"170",0.20537674182037
"171",0.214351101969922
"172",0.204718521782001
"173",0.191583013688084
"174",0.189778320348254
"175",0.200557373837636
"176",0.205178245992317
"177",0.169892363316693
"178",0.219541229930542
"179",0.210543857983986
"180",0.210868594367862
"181",0.173619390340816
"182",0.175435903773222
"183",0.175237407945168
"184",0.193490935786732
"185",0.197525843175275
"186",0.171053248203799
"187",0.191270097396784
"188",0.195833125864879
"189",0.180892924431133
"190",0.214374113766927
"191",0.20956090156174
"192",0.197031287075377
"193",0.195853693228073
"194",0.188692135167191
"195",0.21197779134593
"196",0.213086988323998
"197",0.202376331703853
"198",0.175783651954103
"199",0.20701161544418
"200",0.187709178744945
"201",0.200793145989082
"202",0.179872691685495
"203",0.199212404708122
"204",0.188580159137756
"205",0.190126068529135
"206",0.224886274559018
"207",0.191382073426219
"208",0.20841442826028
"209",0.209434661005918
"210",0.201488642350844
"211",0.23170252887283
"212",0.201724414502289
"213",0.187470962159688
"214",0.223777077580949
"215",0.196905046519555
"216",0.198072087184209
"217",0.200704181756651
"218",0.175289095854207
"219",0.194361916179542
"220",0.204652569346575
"221",0.198887668324245
"222",0.209152865260461
"223",0.214107221069636
"224",0.199973853505309
"225",0.21404937738305
"226",0.214142052959216
"227",0.194539844644403
"228",0.213391157344681
"229",0.213523700737309
"230",0.209066345461843
"231",0.203307600217061
"232",0.186214957262604
"233",0.192847127334008
"234",0.19348849135292
"235",0.197178094994393
"236",0.178217250698492
"237",0.193341683433904
"238",0.200669349867071
"239",0.213701629202169
"240",0.182999342357834
"241",0.210779630135431
"242",0.201229858402393
"243",0.211282294984168
"244",0.191849906385375
"245",0.195706885309057
"246",0.223429329400069
"247",0.175346939540792
"248",0.192491270404287
"249",0.195448101360606
"250",0.204290556639307
"251",0.195583089187046
"252",0.201960186653735
"253",0.204379520871737
"254",0.184927831819675
"255",0.183907599074037
"256",0.190945361012908
"257",0.192054557990976
"258",0.203048816268611
"259",0.209287853086902
"260",0.20450576142756
"261",0.197290071023829
"262",0.210957558600292
"263",0.185016796052105
"264",0.213902569464034
"265",0.196255573751803
"266",0.203448252358529
"267",0.197198662357587
"268",0.189565559993813
"269",0.183237558943091
"270",0.196379369873814
"271",0.174326706795154
"272",0.187648890624548
"273",0.204793221488043
"274",0.184255347254918
"275",0.216739315642079
"276",0.181254937138402
"277",0.208503392492709
"278",0.226343219717967
"279",0.19701702254899
"280",0.197252794700436
"281",0.194674832470843
"282",0.201577606583274
"283",0.200468409605206
"284",0.195672053419476
"285",0.221558683624813
"286",0.190835829417284
"287",0.217449076530228
"288",0.210049301884089
"289",0.214756693837388
"290",0.207069459130765
"291",0.223518293632499
"292",0.217523776236271
"293",0.223104593016192
"294",0.220391642960159
"295",0.209175877057466
"296",0.17628631680284
"297",0.201287702088978
"298",0.176849269771973
"299",0.165072995333958
"300",0.184433275719778
"301",0.164510042364824
"302",0.184491119406364
"303",0.204468485104167
"304",0.178415746526546
"305",0.214233461625459
"306",0.200850989675667
"307",0.205759321890832
"308",0.220213714495299
"309",0.179872691685495
"310",0.194976557057714
"311",0.188927907318637
"312",0.174763419208465
"313",0.181329636844444
"314",0.193600467382356
"315",0.195706885309057
"316",0.181019164986955
"317",0.190887517326322
"318",0.186562705443485
"319",0.202396899067046
"320",0.170527571558058
"321",0.195795849541487
"322",0.216561387177218
"323",0.168220213369491
"324",0.186037028797743
